film,sinopsis,genre
Catatan si boy 5 (Aug),boy (onky alexander) setelah menyelesaikan kuliahnya mencoba membangun bisnis di san francisco. di sana ia memiliki bos yang cantik bernama sheena (sophia latjuba) yang diam-diam juga menyukai boy. emon (didi petet) kemudian datang ke tempat boy dan di jalan ia menemukan anak terlantar yang dibawanya pulang. cindy (paramitha rusady) yang juga datang ke tempat boy segera cemburu menyaksikan keakraban boy dengan sheena. sementara emon kemudian menemukan bahwa anak yang ia temukan adalah seorang anak yang lolos dari penculikan. dia bermaksud mengembalikan anak itu kepada orang tuanya tetapi penangkapannya tertangkap. mereka berusaha merebut anak itu dari tangan emon tetapi gagal. akhirnya emon dapat menyerahkan anak itu kepada orang tuanya tetapi dia ditangkap oleh polisi karena penculikannya. untung ada boy cindy dan sheena yang mencoba klarifikasi.,Laga
Jeritan Kuntilanak (Aug),setelah rekan mereka meninggal secara tidak sengaja sekelompok rekan menemukan diri mereka sebagai korban kutukan yang mengerikan.,Laga
Java Burn (Aug),"gang belakang adalah rumah bagi nicky yang menangani gadis dan membungkuk dengan gaya yang sama. ketika dia tanpa sadar mengatur pacarnya dalam sebuah plot pembunuhan, dia melarikan diri hanya untuk menjadi target si pembunuh berikutnya dan sekarang nicky harus menyelamatkannya dan dirinya sendiri.",Laga
Indera Ke Enam (Aug),sinopsis film indera keenam bercerita tentang merry seorang ibu setengah baya yang memiliki seorang anak. selamat membelikan sebuah rumah yang sederhana namun sangat indah ia tinggal bersama dengan anak gadisnya. hari demi hari berlalu. merry sering kali mengalami kondisi yang terlebih dahulu terjadi pada dirinya ia mampu memperhatikan alam gaib dan hanya dirinya sendiri yang dapat merasakannya orang-orang tidak menganggap benar dengan kemampuannya itu. semejak kecil dina juga mampu memperhatikan keanehan mamahnya selalu melarangnya untuk memberitahukan orang lain. dalam kondisi ketakutan dina hanya diam saja sampai ia tumbuh dewasa. kejadian kejadian aneh setiap hari terjadi di rumah baru mereka. keanehan pada diri gembira semakin hari semakin menjadi jadi. merry merasa sedih karena anak itu berusaha menghindar darinya. hingga pada suatu hari merry harus masuk ke rumah sakit dan dina malah merasa bebas dari ketegangan yang dialaminya selama mamanya dirumah. akhirnya dina putus asa dan rindu sang mama yang slalu ada untuknya. kehadiran mamanya kembali dirumah itu membuat dia sangat bahagia. tapi alex lelaki yang dekat dengan dina merasakan keganjilan pada selamat dia berusaha mencari tau apa yang terjadi di rumah itu. dina mengalami kejadian aneh yang harus menghadapinya teman (lisa) gadis kecil yang selalu menemaninya menjadi penghibur buat dina. tapi dia merasakan sesuatu dalam hidupnya tidaklah nyata. film indera keenam merupakan sebuah film horor yang disutradarai oleh wisnu kuncoro dan naskah cerita yang ditulis oleh maya wendelboe. film indera keenam digarap oleh maya film dan akan dibintangi oleh natasha gott gandhi fernando dan widi dwinanda. film tayang di bioskop pada pertengahan juni tahun 2016,Laga
Kado Hari Jadi (Aug),seorang lelaki muda terbangun dirantai ke kursi logam di sebuah ruangan yang dicat warna merah jambu yang memuakkan dan diterangi oleh satu blok lampu neon yang menyilaukan di sebelah kanannya. sebuah pisau silet digantung di tali di depannya dan pensil berwarna merah muda tajam ditujukan pada mata dan perut kirinya. dia tidak tahu di mana dia berada atau mengapa dia ada di sana. secara berkala seorang gadis muda cantik mengenakan gaun musim panas bermotif bunga memasuki ruangan dan melakukan tindakan yang kejam dan dianggap sebagai penyiksaan yang tampaknya tidak masuk akal. siapa dia? kenapa dia melakukan ini? apa yang telah dia lakukan untuk mendapatkan ini? dan yang paling penting apakah dia akan bertahan?,Laga
Get M4rried (Aug),get m4rried menceritakan mae (nirina zubir) dan rendy (nino fernandez) merayakan hari ulang tahun ana mereka dengan menggunakan jasa event organizer milik eman (aming) yang memulai debut pertamanya dan selalu berhasil membuat pasangan suami istri tersebut dengan mengajukan banyak biaya tambahan. di saat perayaan ulang tahun itu mae dan sehabat-sahabatnya mendapat kabar mengejutkan. sophie (tatjana saphira) mengumumkan bahwa ia akan menikah dengan lelaki korea bernama kim bum park (math wang kie ). padahal lelaki itu baru dikenalnya 3 minggu saat liburan di korea apalagi kim bum park tidak bisa berbahasa indonesia. mendengar itu mama rendy (ira wibowo) sangat mendukung sophie apalagi setelah tahu kim adalah anak konglomerat. maklum saja mama rendy pertama kali menikah dengan pangeran malaysia saat ia berusia 18 tahun. begitu juga dengan benny (ringgo agus rahman) yang sedang meniti karir sebagai ustad ia sangat mendukung pernikahan sophie bahkan siap menikahkan sophie jika gadis itu ingin menikah siri. di pihak yang berbeda pasangan suami-istri mardi (jaja miharja dan merriam bellina) menuduh sophie hamil di luar nikah. sementara itu mae yang tidak pernah akur dengan sophie mencoba pendekatan agar sophie mau mengubah pikirannya. mae yakin bahwa cinta monyet sangat mudah dihilangkan. guntoro (desta) eman (aming) dan benny juga membantu dengan mengalihkan perhatian sophie ke lelaki lain. lelaki ketiga ini mencari cowok-cowok yang dapat merebut hati sopie. namun ternyata terjadi senjata makan tuan. selama pendekatan ke sophie dan teman-teman sophie yang telah sukses selagi muda mae menjadi minder. ia merasa telah membuang masa mudanya karena belum melakukan apa-apa. karena itu bisa berubah haluan. ia merasa lebih nyambung saat bergaul dengan geng sophie daripada dengan suami dan sahabat-sahabatnya sendiri. rendy pun merasa kesal. ia seperti cacing kepanasan karena curiga bahwa salah satu teman sophie naksir dengan mae. di lain tempat usaha guntoro eman dan benny menghasilkan hasil. mereka menemukan lelaki baru untuk sophie bernama jali (ricky harun) seorang anak betawi yang telah mereka latih agar menjadi lelaki ideal yang sesuai dengan kriteria sophie.,Laga
I.Q. 200 (Aug),kepala sekolah di mana doni (donny nurhadi) belajar melaporkan kepada ayahnya bahwa doni menderita kelainan jiwa tindak tanduknya menunjukkan gejala kebanci-bancian. doni berdiskusi satu bulan disarankan memeriksakan diri ke psikiater. dalam film ini doni berperan sebagai laki-laki yang senang menggangu perempuan suka memotret pembantunya dalam pose seksi. doni akan dikirim belajar ke luar negeri. sebelumnyaayahnya mendatangkan dua pendidik pribadi yaitu yeni (yenny farida) dan maria (enny beatrice). dua pendidik ini selalu berpakaian seksi akhirnya doni dan maria saling jatuh cinta. sang ayah senang karena merasa telah ”menyembuhkan” anaknya.,Laga
Kamp Tawanan Wanita (Aug),sebuah film tentang perempuan di penjara yang berlatar di kamp tawanan perang jepang selama perang dunia 2.,Laga
Menuju rembulan (Aug),film fantasi melamun dan absurdis berdasarkan legenda indonesia. asa adalah putri seorang pelihat. untuk melepaskan diri dari cengkeraman ibunya dia tinggal tersembunyi di hutan. suatu hari ia dikumpulkan oleh seekor anjing yang ternyata adalah seorang laki-laki yang dikirim oleh ibunya.,Laga
Cakar harimau (Aug),"wafat suami, kehilangan anaknya dan keengganan kakaknya untuk menuntut balas, membuat sundari (wieke widowati) terlunta-lunta dan tanpa sadar jatuh ke sebuah gua yang ternyata dikuasai oleh pendekar iblis. pendekar ini memanfaatkan dendam sundari demi kepentingannya sendiri. sundari diberi kesaktian cakar harimau dan dengan ketrampilan ini ia bisa menumpahkan seluruh balas dendamnya pada musuh-musuhnya, tapi tak bisa lepas dari cengkeraman pendekar iblis, hingga kakaknya sendiri juga dibunuhnya. anaknya, permana (lukman ridwan, boy tirayoh) yang dibina oleh kakak sundari dan gurunya, yang bisa menumpas penawan sundari, meski sang ibu sendiri terpaksa berdiskusi ajal.",Laga
Java Burn (Aug),"gang belakang adalah rumah bagi nicky yang menangani perempuan dan membungkuk dengan gaya yang sama. ketika dia tanpa sadar mengatur pacarnya dalam sebuah plot pembunuhan, dia melarikan diri hanya untuk menjadi target si pembunuh berikutnya dan sekarang nicky harus menyelamatkannya dan dirinya sendiri.",Laga
Rio sang juara (Aug),"rio harus menggunakan kepalan tangan untuk kehidupan sebagai tukang parkir pembohong. ketika masalah parkir itu dibenahi pemerintah daerah, maka ia kehilangan sumber hidupnya. apa yang akan dia lakukan?",Laga
Suhu Beku: The Movie (Aug),fiki (fiqri alif) dan fauzan (muhammad nur fauzan) pelajar di salah satu smu swasta di makassar. keduanya kompak karena kesamaan visi: bermain musik serta ingin menyajikan musik yang berbeda di kotanya. fauzan dan fiki merekrut cora (muhammad fatur rachman) seorang pemilik clothing skaters sekaligus musisi. pertemuan mereka di jembatani oleh raka (rifky prasetya) salah satu rekan sekolah fauzan dan fiki yang juga banyak membantu mewujudkan cita-cita fiki dan fauzan. daya (nasly perosya) kakak fauzan memperkenalkan temannya lolo (andi) pada fauzan. lolo adalah mantan personil salah satu band kenamaan makassar yang pernah berkiprah di industri musik indonesia di bawah naungan sebuah label walikota di jakarta namun di tengah jalan bandnya kandas dan bubar.,Laga
Pergaulan (Aug),susan (sally marcellina) anak tunggal sanak saudara kaya menggoda pemuda eksekutif yang tinggal di rumahnya michael (bagus z. galistan). karena digoda terus akhirnya michael melayani juga meski dia sudah punya pacar serius kendati orang tua sang pacar tidak menyukai michael. hubungan segitiga ini membuat michael diusir bahkan susan menuduh michael mengedarkan narkotik dan memperkosa dirinya hingga akhirnya meninggal dengan polisi. masalahnya akhirnya terbuka saat susan berusaha membunuh pacar michael sementara michael sendiri hendak dihajar oleh ayah susan. anehnya susan lalu menghajar ayahnya sendiri. ternyata susan sakit jiwa.,Laga
Cewek jagoan beraksi kembali (Aug),rina (debby cynthia dewi) dan pinky (dana christina) berniat membela sahabatnya windy (eva arnaz) yang telah diperkosa oleh herman (barry prima). pada suatu kesempatan herman menjelaskan bahwa perbuatannya bukan atas kemauannya sendiri tetapi mendapat tekanan dari kawanan bandit pemeras. semula rina dan pinky tak menganggap benar tetapi karena herman terus membuktikan dengan mencari bandit-bandit penculikan dirinya yang baru kemudian mereka menjadi yakin. akhirnya dengan bantuan aparat keamanan mereka dapat menumpas bandit-bandit penculikan dan pemeras itu.,Laga
Savage Terror (Primitif) [original title] (Aug),tiga siswa tommy rita dan robert dan pemandu mereka menuju ke hutan untuk mempelajari suku-suku primitif yang terpisah dari peradaban. namun para siswa mengatakan bahwa satu suku yang mereka kunjungi tidak cukup primitif dan mereka ingin menemukan beberapa orang yang benar-benar pembohong dan untuk menemukan suku kanibal legendaris yang seharusnya tinggal di daerah tersebut. panduan enggan setuju dan mereka semua segera disingkirkan dalam kecelakaan rakit. robert dan rita ditangkap oleh para kanibal dan menahan driver sementara tommy dan pemandu mereka berkeliaran tanpa tujuan di hutan mencari rekan mereka yang hilang.,Laga
Si Doel the Movie (Aug),doel melakukan perjalanan ke belanda untuk bersatu kembali dengan seorang gadis yang meninggalkannya 14 tahun lalu.,Laga
Catatan si boy 2 (Aug),priska (vena melinda) dan vera (meriam bellina) sahabat ketika mereka sama-sama kuliah di los angeles. priska adalah saudara emon (didi petet). ketika vera dan priska kembali ke indonesia mereka langsung berpisah. vera tetap di jakarta sementara priska tinggal di bandung. emon memperkenalkan priska pada boy (onky alexander). priska tertarik dengan penampilan dan kebaikan boy. boy hanya menganggap priska sebagai cewek yang cantik dan simpatik. kebaikan boy ditampilkan ketika boy bersedia mengantar priska ke bandung. suatu hari boy bertemu dengan vera dan sejak saat itu mereka kembali saling tertarik dan bercinta. ketika reli pembukaan berlangsung dimana boy serta emon ikut dalam pertandingan tersebut vera dan priska bertemu. priska ingin menyaksikan saudaranya emon serta boy bertanding sementara boy kaget memandang keakraban vera dan priska. di tempat itulah vera menyatakan pada priska bahwa dia mencintai boy. priska bias menyembunyikan perasaannya ketika vera mengatakan memang sejak lama mereka saling jatuh cinta. boy menemui priska mengatakan keterus-terangannya bahwa ia dan vera sudah saling bercinta. priska kecewa karena priska juga menginginkan boy mencintai dirinya sendiri. ketika boy mengantarkan priska ke rumah emon saat itulah vera muncul konflik yang terjadi vera mengira by dan priska pacaran. dugaan ini diperkuat dengan intrik-nya ocha vera ingin menemui boy tetapi boy sudah pergi ke bandung dan betul boy sedang berdansa dengan priska di discotique bandung. sebenarnya boy ke bandung menemui priska cuma minta tolong pada priska menjelaskan sebenarnya hubungan mereka. jangan sampai vera salah paham atas kebaikan boy pada priska. priska akhirnya menemui vera yang selama ini sulit untuk ditemui. priska menjelaskan hubungan boy dengan dirinya sebenarnya cuman rekan biasa. priska juga mengatakan bahwa boy adalah lelaki yang baik yang pernah ia kenal. vera sadar dan kembali pada boy sambil minta maaf. hubungan mereka jadi intim kembali.,Laga
Serigala Terakhir (Aug),"sahabat karib semasa kecil yang memiliki kisah dan kondisi yang sama, membentuk komplotan bersama teman-teman lainnya. komplotan mereka diberi nama serigala terakhir. mereka memiliki impian untuk menjadi mafia terbesar yang bisa mereka jangkau.",Laga
Salawaku (Aug),perjalanan dua manusia yaitu salawaku dan saras berbeda usia[2] kepentingan berbeda dan sifat berbeda dimulai. hingga muncul kawanua kakak angkat salawaku yang menyusul salawaku. salawaku menerima kawanua dalam perjalanan mereka karena menganggap benar pada lelaki tersebut. kebaikan kawanua membutakan mata saras dan salawaku. saras perlahan-lahan menyentuh patah hatinya dan mengalihkan rasanya pada kawanua. hingga di satu titik salawaku menyadari mereka menjauhi piru kota dimana kabarnya kakak salawaku yaitu binaiya berada. berbagai konflik dan drama menyertai kisah perjalanan mereka sebelum bertemu binaiya. dua sosok itu kini melangkah menjauh sebagai dua manusia yang tidak lagi sama.,Laga
Jaka swara (Aug),ayah fatma tewas ditembak portugis ketika fatma masih kecil. fatma dipertemukan dengan jaka swara anak haji abdullah. kedua anak kecil itu menjadi akrab. abdullah memberi mereka masing-masing satu buah kalung. kalung bulan untuk fatma dan kalung bintang untuk jaka. abdullah terlibat dengan bentrokan sekelompok melawan portugis. pimpinan portugis sangat marah karena anak buahnya mengalahkan abdullah. keesokan harinya abdullah diserang oleh orang-orang portugis. abdullah dan istrinya tewas ditembak oleh john da costa sedangkan fatma dibawa oleh kelompok penjajah. jaka tahu setelah dari kejauhan menyaksikan rumahnya terbakar. fatma dijadikan penari jaipong di markas portugis. sementara jaka ditempa dengan ilmu bela diri garuda putih di sebuah perguruan. keduanya kini telah dewasa. jaka diperintah gurunya untuk mengembara menegakkan amar ma'ruf nahi munkar. dalam perjalanan jaka menyaksikan seorang perempuan di atas kereta yang tidak bisa mengendalikan kudanya. jaka berlari menolongnya. ternyata perempuan itu adalah fatma. pertemuan itu diketahui juga oleh kelompok john da costa. jaka yang berhasil membunuh john kemudian melarikan diri setelah tertembak kakinya. meski segala cara yang dilakukan portugis tidak menemukan jaka. akhirnya dengan mengumpankan fatma jaka keluar dari persembunyiannya. jaka disuruh bekerja paksa. karena tidak tega kawan menyaksikan disiksa oleh mandor jaka memukul mandor itu. perbuatan jaka diketahui oleh simon anak john. simon menantang jaka bertarung melawan jago-jago silat minggu depan. jaka dimasukkan ke penjara tanpa diberi makan. di hari pertarungan ada lima orang yang lolos saringan untuk bertarung. jaka yang termasuk salah satu peserta masih berada di penjara. dengan pertarungan tenaga dia berhasil melepaskan tangannya dari belenggu dan langsung lari ke arena pertarungan. jaka menang. suasana menjadi kacau karena simon tidak menghendakinya. terjadi bakuhantam antara simon cs. dan rakyat. dalam pertarungan satu lawan satu jaka berhasil mengalahkan simon. kemenangan ini disambut gegap-gempita oleh rakyat. kini tidak ada lagi pihak yang menjajah mereka.,Laga
Tjambuk api (Aug),"ujung (permainan saling memukul dengan cambuk) merupakan suatu tradisi di suatu desa di jawa timur. tapi, cambuk itu jadi alat ancaman bagi suro (rendra karno) untuk menguasai desa. karena ditinggal ayahnya, yang mati dalam pertarungan ujung, kasan (bambang irawan) dianjurkan ibunya agar menjadi petani saja. usaha kasan menyuburkan tanah yang dianggap tantangan oleh suro, karena kasan berhasil meyakinkan penduduk desa lain. mereka bahkan berhasil membuat kincir untuk mengalirkan udara ke tanah mereka yang tandus. ada masalah lain yang muncul, marni (aminah cendrakasih) yang mencintai dan dicintai kasan, tidak disetujui ayahnya, suro. marni dijodohkan dengan karnen (sukarno m. noor), anak buah suro. setelah disiksa karnan barulah kasan belajar ujung utama. yang bikin suro berang adalah perginya marni ke rumah kasan, tapi ternyata diculik pendekar lain. setelah bebas, marni tak mau pulang. maka kasan menantang duel suro, dan memenangkan kasan. suro dibujuk marni agar menyerah, supaya tidak mati. maka seluruh desa menjadi damai dan bertani.",Laga
Kamp Tawanan Wanita (Aug),sebuah film tentang cewek di penjara yang berlatar di kamp tawanan perang jepang selama perang dunia 2.,Laga
Jakarta Undercover (Aug),seorang gadis asal medan bernama vikitra (luna maya) melarikan diri ke jakarta. setelah sebelumnya secara tak sengaja membunuh ayahnya (ray sahetapy) yang temperamental demi menyelamatkan ibunya (tutty kirana) dari penyiksaan sang ayah. akhirnya viki kabur bersama adiknya ara (kenshiro arashi) yang autis. untuk menutupi biaya hidup—sekaligus merawat adiknya—selama tinggal di jakarta viki menyamar sebagai waria dan bekerja sebagai penari striptis di salah satu klab malam di jakarta. di klab malam itu viki berteman dengan seorang waria penari striptis amanda (fachri albar). lantaran nasib seorang diri di jakarta setiap malam viki terpaksa membawa ara ke tempat kerja dan menyembunyikannya di salah satu sudut ruangan klab malam. sampai suatu hari secara tak sengaja ara menyaksikan sebuah aksi pembunuhan yang dilakukan putra seorang pejabat yang bernama haryo (lukman sardi) bersama teman-temannya yosef (verdi solaeman) dan teddy (adry valery wens). masalah besar pun muncul menghadang ara dan viki akibat peristiwa itu. menyadari aksi kejahatannya diketahui ara haryo bersama dua temannya lalu memburu ara dan viki. selain itu haryo pun berniat ingin segera melenyapkan kedua kakak beradik yang dianggap sudah mengetahui perbuatannya itu sebelum jatuh ke tangan aparat hukum. demi menyelamatkan nyawa adiknya itu viki kembali melarikan diri secara sembunyi-sembunyi dari satu tempat ke tempat lainnya guna menghindari dari kejaran haryo dan teman-temannya yang akan membunuh mereka. bisakah viki dan ara meloloskan diri dari incaran para pembunuhnya itu?,Laga
Blood Warriors (Aug),seorang mantan kelautan menemukan seorang sahabat lama memimpin pasukan tentara bayaran pribadi. ketika seorang mantan kelautan menolak bergabung dengan pasukan tentara bayaran lama milik pribadi sebuah pertempuran mematikan yang mematikan di antara kedua orang itu! dan ini tidak bagus,Laga
Revenge of the Ninja (Gadis berwajah seribu) [original title] (Aug),"terjadi perebutan kalung batu merah yang konon sangat sakti. satria seta pemilik dan kelompok penjahat kohar yang disuruh bossnya eyang. yang mendapat justru maya yang punya pacar jagoan kiki. ia mendapat titipan kalung batu merah dari sesosok suara tak tampak satria seta yang terluka dalam perebutan itu tapi tak mati. ia menggunakan maya untuk membantu. kobar terus mencari. anak buahnya menyaksikan kalung yang dipakai maya. maka maya dicari-cari. maya bersama kiki mendatangi eyang untuk mencari kejelasan. yang terjadi pertempuran antara arwah yang membela maya dan eyang. maya berubah menjadi sakti. lalu entah dari mana muncul si hitam yang juga menginginkan kalung itu. maka pertempuran segi tiga tak terelakkan dan jadi puncak film. kisahnya memang sangat menakjubkan: ada instalasi modern tetapi juga kekuatan super alami. dan jangan lupa mobil meledak maupun meluncur ke jurang. tampaknya yang penting semua elemen ""mencengangkan"" bisa tampil.",Laga
Gangster (Aug),bagi jamroni (raihan khan hamish daud) jadi preman kampung pasar sapi di desa lembah gunung merapi jogjakarta adalah kenyataan eksistensi yang tidak dipilihnya. sejak kecil ia bermimpi bisa menjaga sari (avrilla sigarlaki eriska rein) dan kelak berselingkuh dengan kehidupan bersamanya. biarpun diperlakukan kasar oleh orang tua sari tetapi senyum sari menjadi penyemangatnya. kandang kambing jadi tempatnya belajar silat. mimpi jamroni pudar saat orangtua sari membawanya ke jakarta. hari itu mbah kadir dirampok. beruntung ada jamroni hingga para begal tumbang. setelahnya jamroni mendapat kabar bahwa bapaknya tohari (gunawan maryanto) sedang bernafas. sebelum berpulang tohari menjelaskan bahwa jamroni bukan anak kandungnya. selain itu jamroni menerima setumpuk surat dari sari yang disita tohari. jamroni memutuskan ke jakarta untuk mencari sari dan orangtua kandungnya yang mungkin masih hidup. dalam perjalanan ia harus menghadapi gerombolan ormas dan harus bergantungan di kap mobil retta (nina kozok) yang sedang melarikan diri. perkenalan yang tak terduga. sikap jamroni yang berani namun polos membuat retta mendesak. berkali-kali jamroni berhasil menyelamatkan retta dari para pengejarnya. retta semakin penasaran dengan sosok jamroni dan ia menjelaskan logika kabur: ayah hastomo (agus kuncoro) melakukan perjanjian bisnis dengan amsar (dwi sasono) yang ingin menjodohkan adiknya dengan retta. amsar mengira hastomo mempermainkan dirinya dengan menunda-nunda pertemuan retta dengan adiknya. amsar ketua ormas paling berpengaruh di jakarta menyuruh anak buahnya menangkap retta dan jamroni. retta dan jamroni semakin terjepit ketika jamroni menghadapi pembunuh berdarah tidak peduli sueb (ganindra bimo). retta memutuskan pulang dan memperkenalkan jamroni sebagai calon suami setelah “mengubah”preman kampung jadi ronny pemuda ganteng ibukota. hastomo yang khawatir dengan keadaan astuti (dominique sanda) istrinya yang sakit-sakitan akhirnya melunak dan mengijinkan retta bertunangan dengan jamroni. berita ini sampai ke amsar. ia menuduh hastomo melanggar perjanjian. amsar mengerahkan anak buahnya menduduki rumah hastomo. hanna (kelly tandiono) tangan kanan amsar diminta menjemput bang jangkung (yayan ruhian) pembunuh bayaran amsar yang paling lihai. hanna mantan pacar bang jangkung harus berhadapan dengan pacar baru bang jangkung (dian sastrowardoyo). pada akhirnya jamroni sadar bahwa dia memanfaatkan retta. ia mulai berpikir apakah dia benar mencintai retta dan akan melupakan sari? puncaknya jamroni harus menghadapi bang jangkung.,Laga
The Raid: Redemption (Aug),di jakarta indonesia letnan wahyu mengatur invasi sebuah gedung apartemen yang merupakan rumah aman dari penguasa obat yang kuat dan kejam tama dan gengnya. tim swat menerobos masuk gedung tetapi satu memperhatikan keselamatan dan memperingatkan para gangster dan pasukan polisi terperangkap di lantai ketujuh. mereka belajar bahwa lt. wahyu tidak memberi tahu atasannya tentang operasi itu. sekarang petugas polisi harus bertarung dengan amunisi terbatas melawan gangster bersenjata dan berbahaya.,Laga
Cakar harimau (Aug),"wafat suami, kehilangan anaknya dan keengganan kakaknya untuk menuntut balas, membuat sundari (wieke widowati) terlunta-lunta dan tanpa sadar jatuh ke sebuah gua yang ternyata dikuasai oleh pendekar iblis. pendekar ini memanfaatkan dendam sundari demi kepentingannya sendiri. sundari diberi kesaktian cakar harimau dan dengan ketrampilan ini ia bisa menumpahkan seluruh balas dendamnya pada musuh-musuhnya, tapi tak bisa lepas dari cengkeraman pendekar iblis, hingga kakaknya sendiri juga dibunuhnya. anaknya, permana (lukman ridwan, boy tirayoh) yang dibina oleh kakak sundari dan gurunya, yang bisa menumpas penawan sundari, meski sang ibu sendiri terpaksa berdiskusi ajal.",Laga
Tarzan raja rimba (Aug),umur sejak enam tahun sambo (barry prima) eksistensi di hutan karena orangtuanya mati diterkam harimau. sambo terlibat dengan masalah penebangan hutan karena muncul masalah pada perusahaan yang ada di dekat tempatnya diam. perusahaan itu diserahkan oleh pemiliknya yang meninggal pada burhan (johari zain) adik angkatnya. dan ia mewajibkan sekolah anaknya karina (ziela jalil). burhan bersekongkol dengan pacarnya gina (yurike prastica). perusahaan selalu melaporkan rugi. sebenarnya dilaporkan pada salah seorang karyawan yang keadaannya masih setia. karina datang. karyawan yang diduga tadi dibunuh. karina memaksa untuk menandatangani perusahaan pada burhan tapi berhasil lari masuk hutan dan bersahabat dengan sambo. maka sambo menyelesaikan masalah itu sambil berpesan jangan asal tebang pohon.,Laga
Bulan Terbelah di Langit Amerika 2 (Aug),ketika hanum (acha septriasa) dan rangga (abimana aryasatya) memutuskan untuk kembali ke wina setelah menyelesaikan pekerjaan mereka bos hanum memberi mereka misi baru yang hanya bisa mereka capai: untuk menemukan harta misterius yang ditinggalkan oleh sekelompok pelaut muslim cina yang telah menuju pelayaran benua amerika jauh sebelum colombus tiba. karena itu hanum dan rangga harus terbang dari new york ke san francisco. hanum kemudian meminta azima hussein (rianti cartwright) untuk membantu mereka karena azima memiliki sumber untuk menemukan bukti yang diperlukan. namun mereka tidak menyadari bahwa pemburu harta karun lainnya mengejar ketidakseimbangan yang sama dan musibah itu tidak pernah terlalu jauh. namun di sisi lain azima dan putri sarah hussein (hailey franco) masih meminta persetujuan ibunya (ira wibowo) terhadap keputusannya untuk menjadi seorang muslim. dia tidak menyadari ada informasi pribadi di setiap bagian kehidupan. sementara itu stefan (nino fernandez) yang berjanji dengan patah hati setelahnya dengan jasmine hamil (hannah al rashid) memburuk juga menemukan dirinya terjebak di antara dua pilihan sulit. perjalanan menuju cahaya telah memisahkan mereka sampai mereka menemukan makna perjalanan mereka dalam bentuk mukjizat tuhan.,Laga
Bilur-bilur penyesalan (Aug),"kisah ini terentang sepanjang 21 tahun. dan dalam waktu yang lama, peristiwa-peristiwa menakjubkan terjadi. semarang 1966. roy paturungi (deddy mizwar), anak yatim, marah besar karena ujian dari dosen handoko (pitrajaya burnama) tidak pernah lulus. handoko mempunyai sentimen khusus, karena roy saling cinta dengan anaknya paramita (sophia latjuba) yang sudah ditinggal ibunya. handoko tidak ingin anaknya lepas dari dirinya. dia sangat posesif. kemarahan roy dilampiaskan dengan merusak mobil handoko, hingga ia masuk penjara dua tahun. keluar dari penjara, ia disembunyikan beberapa hari di kamar paramita. lalu menghilang. hasilnya paramita mengandung dan ketika tahu, handoko terguncang dan meninggal. dalam keadaan terguncang pula, paramita melahirkan bayi kembar laki-laki. ia menolak kehadiran bayi itu, karena dianggap penyebab tewas ayahnya. maka atas prakarsa dokter keluarga, dr. alim (henky solaiman) dan rekan psikiaternya, kedua bayi itu diusahakan di adopsi oleh dua kerabat berbeda. jakarta 1983. dua bayi itu menjadi ardi (rano karno), besar dalam kerabat sederhana, dan erik (tio pakusadewo), tumbuh dalam kerabat berantakan tetapi kaya. erik dan ardi satu universitas, fakultas lain. mereka mengincar gadis yang sama, vina (luci parnita). permusuhan terjadi dan ardi selalu mengalah. sementara norma, mahasiswa disitu juga, lebih menaruh hati pada ardi. norma ini ternyata anak roy. dalam suatu pesta, norma minum bir dengan erik, lalu terjadi hubungan liar.",Laga
Merantau (Aug),seorang pemuda dari pedesaan menggunakan keterampilannya dalam seni bela diri silat untuk bertahan kehidupan dari perdagangan budak.,Laga
Maidens Revenge (Aug),"dua saudara perempuan berencana membalas dendam terhadap bandar narkoba yang membunuh sanak saudara mereka dan merampas rumah mereka, yang sekarang digunakan sebagai basis untuk eksperimen mereka terhadap afrodisiak. sang kakak menjadi pelacur agar bisa dekat dengan pergaulan tersebut.",Laga
Triangle: the Dark Side (Aug),"deddy (deddy corbuzier), pembunuh bayaran, yang tergabung dalam sebuah organisasi rahasia, mengalami bekas luka mendalam saat istri yang dicintainya dibunuh. ia memutuskan untuk berhenti. namun, masih ada sebuah kontrak terakhir yang harus ia selesaikan sebelum dapat keluar dari dunia hitam. target akhirnya adalah volland (volland humonggio), mafia kejam yang memiliki seorang adik wanita, chika (chika jessica). dalam proses penyamaran ini deddy mulai dekat dan jatuh cinta pada chika. dengan masa lalu yang kelam, keinginan untuk berhenti dan tugas pada akhirnya, ia menghadapi pilihan sulit: membunuh sasarannya dan kehilangan cinta barunya atau memutuskan untuk menghentikan satu pihak dengan risiko dirinya dan kekasihnya akan dihabisi oleh organisasinya.",Laga
Black Honeymoon (Aug),rangga adalah pacar yang penuh kasih dan perhatian untuk cinta tetapi semuanya berubah menjadi terbalik selama bulan madu mereka setelah mereka menikah. rangga berubah menjadi lelaki cuek dan kasar terhadap cinta.,Laga
